taxid,group_id,disposition,description,penalty,type
957715,1,GUILTY,DISPLAYED HIS DEPARTMENT TRAFFIC VEST ON THE DASHBOARD OF HIS PRIVATE VEHICLE WHILE IT WAS IMPROPERLY PARKED ON A FIRE HYDRANT.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (20 day(s) )",charge
947112,1,GUILTY,"WHILE ON-DUTY, FRISKED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",VACATION DAYS (10 day(s) ),charge
947112,1,GUILTY,"WHILE ON-DUTY, FRISKED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",VACATION DAYS (10 day(s) ),charge
947112,1,GUILTY,"WHILE ON-DUTY, FRISKED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",VACATION DAYS (10 day(s) ),charge
947112,1,GUILTY,SEARCHED A VEHICLE WITHOUT SUFFICIENT LEGAL AUTHORITY.,VACATION DAYS (10 day(s) ),charge
947112,1,GUILTY,INTERFERED WITH THE USE OF RECORDING DEVICE.,VACATION DAYS (10 day(s) ),charge
947112,1,GUILTY,SPOKE DISCOURTEOUSLY TO A PERSON KNOWN TO THE DEPARTMENT.,VACATION DAYS (10 day(s) ),charge
935080,1,GUILTY,FAILED TO PREPARE PROPERTY CLERK INVOICE REGARDING INVESTIGATORY/ FOUND PROPERTY,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
935080,1,GUILTY,FAILED TO SAFEGUARD  PROPERTY,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
935080,1,GUILTY,FAILED TO MAINTAIN ACTIVITY LOG,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
935080,1,GUILTY,FAILED TO CONDUCT A PROPER INVESTIGATION,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
935080,1,GUILTY,INTERFERED WITH AN OFFICIAL DEPARTMENT INVESTIGATION,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
935080,1,GUILTY,WRONGFULLY IN POSSESSION OF AN UNAUTHORIZED  DEPARTMENT SHIELD,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
935080,1,GUILTY,MADE FALSE STATEMENTS DURING AN OFFICIAL DEPARTMENT INTERVIEW,"DISMISSAL PROBATION (12 month(s) ), SUSPENDED W/O PAY (30 day(s) ), VACATION DAYS (30 day(s) )",charge
947783,1,GUILTY,WRONGFULLY OPERATED A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY THE CONSUMPTION OF ALCOHOL.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge
947783,1,GUILTY,REFUSED TO SUBMIT TO A BREATH TEST TO DETERMINE HIS ALCOHOL COMCENTRATION.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge
947783,1,GUILTY,CONSUMED AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge
947783,1,GUILTY,CONSUMED AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY WHILE ARMED.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge
947783,1,GUILTY,"WHILE OFF-DUTY, FAILED TO SAFEGUARD HIS FIREARM.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (20 day(s) )",charge
945859,1,PLEADED GUILTY,discharged a firearm outside department guidelines.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (28 day(s) )",charge
945859,1,PLEADED GUILTY,failed to follow proper firearm handling procedures resulting in a discharge.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (28 day(s) )",charge
945859,2,PLEADED GUILTY,Made misleading statements during an official Department interview.,"DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (28 day(s) )",charge
940320,1,GUILTY,"WHILE ON-DUTY, WHILE BEING INTERVIEWED AT THE CIVILIAN COMPLAINT REVIEW BOARD, DID MAKE INACCURATE AND MISLEADING STATEMENTS.",VACATION DAYS (25 day(s) ),charge
954011,1,GUILTY,"WHILE OFF-DUTY, FAILED TO SAFEGUARD HIS OFF-DUTY FIREARM","INSTRUCTIONS, VACATION DAYS (10 day(s) )",charge
951856,1,GUILTY,"WHILE OFF-DUTY, CONSUMED AN INTOXICANT TO THE EXTENT THAT SAID POLICE OFFICER WAS UNFIT FOR DUTY.",VACATION DAYS (20 day(s) ),charge
928567,1,GUILTY,"Failed to prepare a Property Clerk's Invoice Worksheet, as required.",VACATION DAYS (40 day(s) ),charge
928567,1,GUILTY,Failed to properly document inventory actions.,VACATION DAYS (40 day(s) ),charge
928567,1,GUILTY,Failed to make proper notifications.,VACATION DAYS (40 day(s) ),charge
928567,1,GUILTY,"Failed to prepare a Property Clerk's Invoice Worksheet, as required.",VACATION DAYS (40 day(s) ),charge
928567,1,GUILTY,Failed to make required entries in Department Logs.,VACATION DAYS (40 day(s) ),charge
938740,1,GUILTY,WRONGFULLY ASSOCIATED WITH AN INDIVIDUAL KNOWN TO THE DEPARTMENT WHO ENGAGED IN CRIMINAL ACTIVITIES .,VACATION DAYS (20 day(s) ),charge
949153,1,GUILTY,FAILED TO PROPERLY HANDLE HIS FIREARM RESULTING IN ITS ACCIDENTAL DISCHARGE.,VACATION DAYS (15 day(s) ),charge
949153,1,GUILTY,FAILED TO MAKE PROPER NOTIFICATIONS AFTER ACCIDENTALLY DISCHARGING HIS FIREARM.,VACATION DAYS (15 day(s) ),charge
959719,1,GUILTY,"WHILE ON-DUTY,  FAILED TO ENSURE THAT THE CHILD SAFETY LOCKS WERE ENGAGED ON THE REAR DOORS OF HIS ASSIGNED DEPARTMENT VEHICLE, RESULTING IN THE ESCAPE OF A DEPARTMENT PRISONER",VACATION DAYS (10 day(s) ),charge
954987,1,GUILTY,"WHILE OFF-DUTY, WRONGFULLY OPERATED A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF AN INTOXICANT.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge
954987,1,GUILTY,WRONGFULLY OPERATED A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY THE CONSUMPTION OF ALCOHOL.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge
954987,1,GUILTY,"WHILE OFF-DUTY, REFUSED TO SUBMIT TO A CHEMICAL BREATH TEST.","COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge
954987,1,GUILTY,CONSUMED AN INTOXICANT TO THE EXTENT HE WAS UNFIT FOR DUTY.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (10 day(s) )",charge
928571,1,GUILTY,WRONGFULLY CAUSED FALSE DEPARTMENT RECORDS TO BE GENERATED,VACATION DAYS (30 day(s) ),charge
937826,1,GUILTY,"WHILE OFF-DUTY, ENGAGED IN A PHYSICAL ALTERCATION.","COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge
937826,1,GUILTY,ENGAGED IN A PHYSICAL ALTERCATION IN THE PRESENCE OF A MINOR.,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge
937826,2,PLEADED GUILTY,Made disparaging remark ( race),,charge
946503,1,GUILTY,Failed to safeguard a prisoner resulting is loss,"PRE-TRIAL SUSPENSION DAYS (11 day(s) ), VACATION DAYS (12 day(s) )",charge
946503,1,GUILTY,Failed to activate their body-worn camera.,"PRE-TRIAL SUSPENSION DAYS (11 day(s) ), VACATION DAYS (12 day(s) )",charge
960744,1,PLEADED GUILTY,Failed to make proper notifications.,VACATION DAYS (10 day(s) ),charge
936843,1,GUILTY,"DID KNOWINGLY ASSOCIATE WITH PERSONS OR ORGANIZATIONS REASONABLY BELIEVED TO ENGAGED IN, LIKELY TO ENGAGE IN, OR TO HAVE ENGAGED IN CRIMINAL ACTIVITIES.",VACATION DAYS (25 day(s) ),charge
936843,1,GUILTY,DID WRONGFULLY AND WITHOUT JUST CAUSE ENGAGE IN OFF-DUTY EMPLOYMENT WITHOUT AUTHORITY OR PERMISSION TO DO SO.,VACATION DAYS (25 day(s) ),charge
936843,1,GUILTY,DID WRONGFULLY AND WITHOUT JUST CAUSE UTILIZE DEPARTMENT DATABASES TO MAKE INQUIRIES UNRELATED TO THE OFFICIAL BUSINESS OF THE DEPARTMENT OR THE CITY OF NEW YORK.,VACATION DAYS (25 day(s) ),charge
936843,1,GUILTY,"DID FAIL AND NEGLECT TO PROVIDE SAID OFFICER's COMMANDING OFFICER WITH AN OPERABLE PERSONAL TELEPHONE NUMBER, AS REQUIRED.",VACATION DAYS (25 day(s) ),charge
954016,1,GUILTY,OPERATED A MOTOR VEHICLE WHILE HIS BLOOD ALCOHOL CONTENT WAS OVER THE LEGAL LIMIT.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (10 day(s) )",charge
954016,1,GUILTY,OPERATED A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY THE CONSUMPTION OF ALCOHOL.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (10 day(s) )",charge
954016,1,GUILTY,CONSUMED AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), SUSPENDED W/O PAY (14 day(s) ), VACATION DAYS (10 day(s) )",charge
945872,1,PLEADED GUILTY,Failed to safeguard a firearm (resulting in loss/theft or not).,VACATION DAYS (30 day(s) ),charge
945872,1,PLEADED GUILTY,Failed to timely make proper notifications.,VACATION DAYS (30 day(s) ),charge
950663,1,GUILTY,"FAILED AND NEGLECTED TO PROPERLY SAFEGUARD HIS OFF-DUTY FIREARM, TO WIT: PLACED SAID FIREARM IN THE SMALL FRONT COMPARTMENT OF OFFICER's BACKPACK, RESULTING IN ITS LOSS.",VACATION DAYS (23 day(s) ),charge
950663,1,GUILTY,"UPON BECOMING AWARE THAT HIS OFF-DUTY FIREARM WAS MISSING, FAILED AND NEGLECTED TO TIMELY REPORTTHE LOSS OF THE OFF-DUTY FIREARM.",VACATION DAYS (23 day(s) ),charge
943429,1,PLEADED GUILTY,"WHILE ON DUTY, HE USED A DEPARTMENT BATTERING RAM IN THE EXECUTION OF A PRACTICAL JOKE.",VACATION DAYS (45 day(s) ),charge
943429,1,PLEADED GUILTY,"WHILE ON-DUTY,  AS RESULT OF A PRACTICAL JOKE HE CONDUCTED, CAUSED DAMAGE TO A BATHROOM DOOR LOCATED INSIDE OF A DEPARTMENT FACILITY.",VACATION DAYS (45 day(s) ),charge
943429,2,PLEADED GUILTY,USED HIS PERSONAL VIDEO CAMERA TO RECORD THE EXECUTION OF A SEARCH WARRANT AND DID NOT HAVE THE PERMISSION OR AUTHORITY OF THE DEPARTMENT TO DO SO.,VACATION DAYS (45 day(s) ),charge
943429,2,PLEADED GUILTY,FAILED TO DISCLOSE AND PROVIDE A COPY OF VIDEO RECORDINGS HE MADE OF THE EXECUTION OF SEARCH WARRANTS TO THE OFFICE OF THE DISTRICT ATTORNEY.,VACATION DAYS (45 day(s) ),charge
943429,3,GUILTY,FRISKED AN INDIVIDUAL WITHOUT SUFFICIENT LEGAL AUTHORITY.,VACATION DAYS (3 day(s) ),charge
924014,1,GUILTY,IMPROPERLY SUPERVISED A VEHICLE PURSUIT,VACATION DAYS (5 day(s) ),charge
954994,1,GUILTY,ABUSED HIS AUTHORITY IN THAT HE STOPPED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.,VACATION DAYS (18 day(s) ),charge
954994,1,GUILTY,WRONGFULLY USED FORCE IN THAT HE USED PHYSICAL FORCE BY PUNCHING A PERSON KNOWN TO THE DEPARTMENT ABOUT THE FACE WITHOUT POLICE NECCESSITY.,VACATION DAYS (18 day(s) ),charge
935098,1,GUILTY,Failed to safeguard a firearm.,VACATION DAYS (20 day(s) ),charge
940331,1,GUILTY,FAILED TO PROVIDE HIS SHIELD NUMBER WHEN REQUESTED TO DO SO BY A PERSON KNOWN TO THE DEPARTMENT.,VACATION DAYS (1 day(s) ),charge
949158,1,GUILTY,Wrongful used physical force.,"SUSPENDED W/O PAY (10 day(s) ), VACATION DAYS (10 day(s) )",charge
933751,1,GUILTY,WRONGFULLY AND WITHOUT JUST CAUSE WAS ABSENT FROM  ASSIGNED DUTIES,VACATION DAYS (15 day(s) ),charge
933751,1,GUILTY,WRONGFULLY UTILIZED A DEPARTMENT VEHICLE WITHOUT PERMISSION,VACATION DAYS (15 day(s) ),charge
884130,1,PLEADED GUILTY,Made computer inquiries unrelated to official Department business.,VACATION DAYS (5 day(s) ),charge
936849,1,PLEADED GUILTY,possession of a forged instrument.,"DISMISSAL PROBATION (12 month(s) ), RESTITUTION ($500), VACATION DAYS (60 day(s) )",charge
936849,1,PLEADED GUILTY,submission of a forged instrument.,"DISMISSAL PROBATION (12 month(s) ), RESTITUTION ($500), VACATION DAYS (60 day(s) )",charge
956793,1,GUILTY,WHILE OFF-DUTY WRONGFULLY CONSUMED AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge
956793,1,GUILTY,WHILE OFF-DUTY WRONGFULLY CONSUMED AN INTOXICANT TO THE EXTENT THAT SAID POLICE OFFICER WAS UNFIT FOR DUTY WHILE ARMED.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge
956793,1,GUILTY,WHILE OFF-DUTY FAILED AND NEGLECTED TO PROPERLY SAFEGUARD HIS FIREARM.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) )",charge
956794,1,PLEADED GUILTY,Violated Department of Motor Vehicles rules.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge
956794,1,PLEADED GUILTY,Violated Department of Motor Vehicles rules.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge
956794,2,PLEADED GUILTY,Made computer inquiries unrelated to official Department business.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge
956794,2,PLEADED GUILTY,Made or caused to be made false or inaccurate entries in Department records.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge
956794,2,PLEADED GUILTY,Violated paid detail rules.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge
956794,2,PLEADED GUILTY,Failed to make required entries in Department Logs - Activity Log.,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (85 day(s) )",charge
944699,1,GUILTY,"SAID DETECTIVE, WAS LATE TO, WAS ABSENT FROM, OR LEFT EARLY FROM HIS ASSIGNMENT, WITHOUT PERMISSION OR POLICE NECESSITY, ON APPROXIMATELY TWENTY-FOUR (24) OCCASIONS","DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($216), VACATION DAYS (20 day(s) )",charge
944699,1,GUILTY,"SAID DETECTIVE, ON APPROXIMATELY THIRTY-FIVE (35) OCCASIONS, WRONGFULLY MADE INACCURATE ENTRIES IN DEPARTMENT RECORDS","DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($216), VACATION DAYS (20 day(s) )",charge
944699,1,GUILTY,"SAID DETECTIVE,  ON APPROXIMATELY FORTY-FIVE (45) DATES, WRONGFULLY MADE INACCURATE ENTRIES IN A SIGN IN/SIGN OUT LOG OR HIS ACTIVITY LOG.","DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($216), VACATION DAYS (20 day(s) )",charge
944699,1,GUILTY,"SAID DETECTIVE, WRONGFULLY FAILED TO PROPERLY SAFEGUARD HIS ACTIVITY LOG.","DEDUCTION OF PENSIONABLE TIME, FORFEITURE OF TIME/LEAVE BALANCES, RESTITUTION ($216), VACATION DAYS (20 day(s) )",charge
938768,1,GUILTY,"WHILE ON-DUTY, WAS DISCOURTEOUS TO NEW YORK CITY POLICE LIEUTENANT",VACATION DAYS (10 day(s) ),charge
947133,1,GUILTY,DID WRONGFULLY OPERATE A MOTOR VEHICLE WHILE HAVING A .17 OF ONE PER CENTUM OR MORE BY WEIGHT OF ALCOHOL IN HIS BLOOD.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (9 day(s) )",charge
947133,1,GUILTY,DID WRONGFULLY OPERATE A MOTOR VEHICLE WHILE HIS ABILITY WAS IMPAIRED BY THE CONSUMPTION OF ALCOHOL.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (9 day(s) )",charge
947133,1,GUILTY,DID WRONGFULLY CONSUME AN INTOXICANT TO THE EXTENT THAT HE WAS UNFIT FOR DUTY.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (9 day(s) )",charge
947133,1,GUILTY,DID WRONGFULLY CONSUME AN INTOXICANT TO THE ENTENT THAT SAID POLICE OFFICER WAS UNFIT FOR DUTY WHILE ARMED.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (9 day(s) )",charge
943439,1,GUILTY,Failed to make proper notifications.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (29 day(s) ), SUSPENDED W/O PAY (16 day(s) ), VACATION DAYS (20 day(s) )",charge
943439,1,GUILTY,Failed to make proper notifications.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (29 day(s) ), SUSPENDED W/O PAY (16 day(s) ), VACATION DAYS (20 day(s) )",charge
943439,1,GUILTY,Operated a motor vehicle while their ability was impaired.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (29 day(s) ), SUSPENDED W/O PAY (16 day(s) ), VACATION DAYS (20 day(s) )",charge
943439,1,GUILTY,Unfit for duty while armed.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (29 day(s) ), SUSPENDED W/O PAY (16 day(s) ), VACATION DAYS (20 day(s) )",charge
938772,1,GUILTY,"WHILE ON-DUTY, FAILED AND NEGLECTED TO PREPARE OR DIRECT THE PREPARATION OF A COMPLAINT REPORT WORKSHEET",VACATION DAYS (30 day(s) ),charge
938772,1,GUILTY,"WHILE ON-DUTY,  WRONGFULLY FAILED TO SUPERVISE PROPERLY POLICE OFFICERS UNDER HIS DIRECT SUPERVISION REGARDING THE HANDLING AND INVESTIGATION OF AN ASSIGNMENT INVOLVING AN ALLEGED ASSAULT AND A VEHICLE COLLISION",VACATION DAYS (30 day(s) ),charge
938772,1,GUILTY,"HAVING BECOME AWARE OF AN ALLEGATION OF MISCONDUCT, WRONGFULLY FAILED TO REPORT SAID ALLEGATION TO THE INTERNAL AFFAIRS BUREAU",VACATION DAYS (30 day(s) ),charge
938772,1,GUILTY,"WHILE ON DUTY,  WRONGFULLY FAILED AND NEGLECTED TO MAKE ACTIVITY LOG ENTRIES",VACATION DAYS (30 day(s) ),charge
938772,2,GUILTY,"WHILE ON DUTY, WRONGFULLY FAILED TO PREPARE AND/OR SUBMIT OR ENSURE THE PREPARATION AND/OR SUBMISSION OF AN ACCIDENT REPORT - CITY INVOLVED AND/OR AN AIDED REPORT",VACATION DAYS (30 day(s) ),charge
938772,2,GUILTY,"WHILE ON-DUTY,  WRONGFULLY FAILED TO FOLLOW THE PROPER DEPARTMENT PROCEDURES AND/OR FAILED TO SUPERVISE PROPERLY POLICE OFFICERS UNDER HIS DIRECT SUPERVISION REGARDING THE HANDLING OF AN ASSIGNMENT INVOLVING AN EMOTIONALLY DISTURBED PERSON AND/OR BARRICADED PERSON",VACATION DAYS (30 day(s) ),charge
938772,2,GUILTY,"WHILE ON-DUTY, HE ENTERED A LOCATION KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY",VACATION DAYS (30 day(s) ),charge
964092,1,GUILTY,Violated patrol rules.,VACATION DAYS (1 day(s) ),charge
948366,1,GUILTY,WHILE OFF DUTY WRONGFULLY ENGAGED IN A PHYSICAL ALTERCATION WITH AN INDIVIDUAL KNOWN TO THE DEPARTMENT.,"PRE-TRIAL SUSPENSION DAYS (30 day(s) ), RESTORATION OF SUSPENSION DAYS (20 day(s) )",charge
943441,1,GUILTY,"WHILE ON-DUTY FAILED AND NEGLECTED TO SAFEGUARD A PRISONER, RESULTING IN THE LOSS OF SAID PRISONER.",VACATION DAYS (25 day(s) ),charge
943441,1,GUILTY,WHILE ON-DUTY FAILED TO SAFEGUARD A DEPARTMENT VEHICLE.,VACATION DAYS (25 day(s) ),charge
943441,2,GUILTY,Offered/Caused a false instrument to be filed.,VACATION DAYS (20 day(s) ),charge
924028,1,GUILTY,"WHILE ON-DUTY, APPROVED/VERIFIED AN ARREST REPORT AND COMPLAINT REPORT THAT CONTAINED FALSE AND/OR INACCURATE NARRATIVES","INSTRUCTIONS, VACATION DAYS (15 day(s) )",charge
924028,2,GUILTY,"WHILE ON-DUTY, AUTHORIZED A STRIP SEARCH OF A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",VACATION DAYS (10 day(s) ),charge
958766,1,GUILTY,Involved in a physical altercation.,"COUNSELING, DISMISSAL PROBATION (0 month(s) ), VACATION DAYS (45 day(s) )",charge
958766,1,GUILTY,Involved in a physical altercation.,"COUNSELING, DISMISSAL PROBATION (0 month(s) ), VACATION DAYS (45 day(s) )",charge
958766,1,GUILTY,Failed to make proper notifications.,"COUNSELING, DISMISSAL PROBATION (0 month(s) ), VACATION DAYS (45 day(s) )",charge
942016,1,GUILTY,"WHILE ON-DUTY, FAILED TO SIGN IN/OUT OF THE PRECINCT COMMAND LOG.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (40 day(s) )",charge
942016,1,GUILTY,"WHILE ON-DUTY, FAILED TO SIGN THE INTERRUPTED PATROL LOG IN HIS CAPACITY AS THE DESK SERGEANT.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (40 day(s) )",charge
942016,1,GUILTY,"WHILE ON-DUTY, FAILED TO SUPERVISE.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (40 day(s) )",charge
942016,1,GUILTY,"WHILE ON-DUTY, FAILED TO MAKE ACCURATE AND CONCISE ENTRIES IN DEPARTMENT RECORDS.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (40 day(s) )",charge
942016,1,GUILTY,"WHILE ON-DUTY, FAILED TO SIGN THE RETURN ROLL CALL LOG AT THE END OF HIS TOUR.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (40 day(s) )",charge
942016,1,GUILTY,"WHILE ON-DUTY, WAS ABSENT FROM SAID ASSIGNMENT WITHOUT PERMISSION OR POLICE NECESSITY AND FAILED TO SUBMIT A LEAVE OF ABSENCE REPORT.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (40 day(s) )",charge
942016,1,GUILTY,"WHILE ON-DUTY, ENGAGED IN PERSONAL BUSINESS INSIDE OF THE STATIONHOUSE WITH ANOTHER MEMBER OF SERVICE.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (40 day(s) )",charge
942016,1,GUILTY,"WHILE ON-DUTY, FAILED TO ANSWER QUESTIONS SPECIFICALLY DIRECTED AND NARROWLY RELATED TO HIS OFFICIAL DUTIES.","DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (40 day(s) )",charge
952940,1,GUILTY,FAILED TO COMPLY WITH AN ORDER.,PRE-TRIAL SUSPENSION DAYS (30 day(s) ),charge
924034,1,GUILTY,FAILED TO ENSURE THAT ARREST PAPERWORK WAS PROPERLY COMPLETED.,VACATION DAYS (20 day(s) ),charge
924034,1,GUILTY,FAILED TO PROPERLY DOCUMENT IN DEPARTMENT RECORDS THAT AN ARREST WAS TRANSFERRED FROM ONE POLICE OFFICER TO ANOTHER.,VACATION DAYS (20 day(s) ),charge
954028,1,GUILTY,WAS OUT OF RESIDENCE WHILE ON SICK REPORT WITHOUT THE PERMISSION OF HER DISTRICT SURGEON OR SICK DESK SUPERVISOR.,VACATION DAYS (10 day(s) ),charge
952946,1,PLEADED GUILTY,Criminal Trespass,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (34 day(s) )",charge
952946,1,PLEADED GUILTY,Criminal Mischief.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (34 day(s) )",charge
952946,1,PLEADED GUILTY,Involved in a physical altercation.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (34 day(s) )",charge
952946,1,PLEADED GUILTY,Endangered the welfare of a child.,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (34 day(s) )",charge
